Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-July-2018,530.00,531.05,523.40,526.10,526.629428442093726919,83946,1707,44208434.00,12081,14.39,7.65,-3.90
26-July-2018,541.90,541.90,518.25,524.85,527.612387174417605088,116330,3485,61377149.00,26732,22.98,23.65,-17.05
25-July-2018,551.00,551.00,535.60,540.50,540.551570569807806282,59055,2328,31922273.00,9033,15.30,15.40,-10.50
24-July-2018,540.00,554.80,530.40,551.85,544.667724761088997497,119082,3436,64860122.00,16455,13.82,24.40,11.85
23-July-2018,564.00,564.00,524.25,540.30,537.870243210915695742,180584,5449,97130760.00,22633,12.53,39.75,-23.70
20-July-2018,562.45,569.00,561.00,564.40,564.975352594824044913,36515,1018,20630075.00,3112,8.52,8.00,1.95
19-July-2018,568.00,575.50,561.65,563.70,566.998793137190945267,30658,915,17383049.00,6402,20.88,13.85,-4.30
18-July-2018,575.25,577.90,560.80,568.70,570.001251294442526751,46352,1008,26420698.00,7406,15.98,17.10,-6.55
17-July-2018,568.00,579.95,564.75,572.85,573.247507419031149255,46839,1044,26850340.00,5316,11.35,15.20,4.85
16-July-2018,583.05,589.00,563.60,571.40,581.641469510636484989,70418,1792,40958029.00,6273,8.91,25.40,-11.65
13-July-2018,580.05,585.05,569.00,583.00,577.822713864306784660,47460,1391,27423466.00,8318,17.53,16.05,2.95
12-July-2018,583.00,592.05,575.35,578.40,585.546964129483814523,57150,1490,33464009.00,9234,16.16,16.70,-4.60
11-July-2018,584.30,588.35,578.00,579.25,580.713737065202195651,379113,2366,220156127.00,205630,54.24,10.35,-5.05
10-July-2018,595.75,595.75,583.00,585.95,588.476190234802708950,197272,2858,116089875.00,8252,4.18,12.75,-9.80
9-July-2018,579.00,594.00,579.00,589.50,589.561485606946893176,60689,1222,35779897.00,8561,14.11,15.00,10.50
6-July-2018,570.00,587.25,567.05,577.45,581.239398731597567536,61337,1567,35651481.00,7396,12.06,20.20,7.45
5-July-2018,586.00,586.00,565.05,570.25,573.715945842240859507,36486,893,20932600.00,4349,11.92,20.95,-15.75
4-July-2018,561.50,584.30,560.60,581.10,573.268464486723524740,57922,1337,33204856.00,9173,15.84,23.70,19.60
3-July-2018,553.30,564.50,552.80,559.45,559.717273758341465987,37913,1017,21220561.00,4736,12.49,11.70,6.15
